,Freq,Genes
ECHDC1,4,ECHDC1
EDEM2,4,EDEM2
EEF1A1,4,EEF1A1
EEF1B2,4,EEF1B2
EEFSEC,4,EEFSEC
EFCAB1,4,EFCAB1
EFCAB7,4,EFCAB7
EFHC1,4,EFHC1
EFNB2,4,EFNB2
EHD2,4,EHD2
EIF2AK2,4,EIF2AK2
EIF3D,4,EIF3D
EIF3K,4,EIF3K
EIF3L,4,EIF3L
EIF4B,4,EIF4B
EIF4E2,4,EIF4E2
EIF6,4,EIF6
ELF4,4,ELF4
ELL3,4,ELL3
ELP6,4,ELP6
EMCN,4,EMCN
EML3,4,EML3
ENDOD1,4,ENDOD1
ENPP5,4,ENPP5
ENTPD1,4,ENTPD1
EPS8,4,EPS8
EPSTI1,4,EPSTI1
ERAL1,4,ERAL1
ERAP2,4,ERAP2
ERCC2,4,ERCC2
ERCC3,4,ERCC3
EREG,4,EREG
ERI3,4,ERI3
ERICH1,4,ERICH1
ERO1L,4,ERO1L
ERP44,4,ERP44
ERRFI1,4,ERRFI1
ERVFRD-1,4,ERVFRD-1
ESCO2,4,ESCO2
ESM1,4,ESM1
ESPN,4,ESPN
ESYT3,4,ESYT3
EVI2A,4,EVI2A
EVX1,4,EVX1
EWSR1,4,EWSR1
EXOC6,4,EXOC6
EXOC6B,4,EXOC6B
EXOC7,4,EXOC7
EZH1,4,EZH1
F10,4,F10
FABP12,4,FABP12
FAIM2,4,FAIM2
FAIM3,4,FAIM3
FAM111A,4,FAM111A
FAM117A,4,FAM117A
FAM120C,4,FAM120C
FAM134B,4,FAM134B
FAM151A,4,FAM151A
FAM155A,4,FAM155A
FAM166A,4,FAM166A
FAM170A,4,FAM170A
FAM188A,4,FAM188A
FAM193A,4,FAM193A
FAM198B,4,FAM198B
FAM214A,4,FAM214A
FAM214B,4,FAM214B
FAM221A,4,FAM221A
FAM26E,4,FAM26E
FAM46B,4,FAM46B
FAM57B,4,FAM57B
FAM63B,4,FAM63B
FAM65A,4,FAM65A
FAR1,4,FAR1
FARSA,4,FARSA
FBF1,4,FBF1
FBXL13,4,FBXL13
FBXL18,4,FBXL18
FBXL20,4,FBXL20
FBXO10,4,FBXO10
FBXO15,4,FBXO15
FBXO33,4,FBXO33
FBXO5,4,FBXO5
FBXO7,4,FBXO7
FBXW12,4,FBXW12
FCGR2A,4,FCGR2A
FCRL6,4,FCRL6
FDPS,4,FDPS
FDX1L,4,FDX1L
FEM1B,4,FEM1B
FER1L5,4,FER1L5
FETUB,4,FETUB
FFAR1,4,FFAR1
FFAR4,4,FFAR4
FGFR1,4,FGFR1
FGR,4,FGR
FHL1,4,FHL1
FKBP10,4,FKBP10
FKBP9,4,FKBP9
FMNL2,4,FMNL2
FMOD,4,FMOD
FN3KRP,4,FN3KRP
FNBP1L,4,FNBP1L
FOXA3,4,FOXA3
FOXD4,4,FOXD4
FOXD4L1,4,FOXD4L1
FOXF1,4,FOXF1
FOXH1,4,FOXH1
FOXK1,4,FOXK1
FOXL2,4,FOXL2
FOXN3,4,FOXN3
FOXP3,4,FOXP3
FOXRED2,4,FOXRED2
FPGS,4,FPGS
FPR3,4,FPR3
FRG2B,4,FRG2B
FRMD1,4,FRMD1
FRRS1,4,FRRS1
FSD2,4,FSD2
FSIP1,4,FSIP1
FUBP3,4,FUBP3
FUK,4,FUK
FUT6,4,FUT6
FZD1,4,FZD1
FZD5,4,FZD5
FZD7,4,FZD7
FZD8,4,FZD8
FZD9,4,FZD9
G6PD,4,G6PD
GABPB1,4,GABPB1
GABRR2,4,GABRR2
GALK2,4,GALK2
GALNT1,4,GALNT1
GALNT10,4,GALNT10
GALNTL5,4,GALNTL5
GALP,4,GALP
GALT,4,GALT
GAREM,4,GAREM
GART,4,GART
GATA5,4,GATA5
GATAD1,4,GATAD1
GATB,4,GATB
GCA,4,GCA
GCAT,4,GCAT
GCFC2,4,GCFC2
GCNT2,4,GCNT2
GDAP1L1,4,GDAP1L1
GDF3,4,GDF3
GDF7,4,GDF7
GEMIN4,4,GEMIN4
GEMIN7,4,GEMIN7
GFM1,4,GFM1
GFRA3,4,GFRA3
GGA3,4,GGA3
GGT5,4,GGT5
GIP,4,GIP
GIT2,4,GIT2
GJC2,4,GJC2
GLB1L3,4,GLB1L3
GLCE,4,GLCE
GLIPR1L2,4,GLIPR1L2
GLMN,4,GLMN
GLS2,4,GLS2
GMPR,4,GMPR
GNAO1,4,GNAO1
GNAZ,4,GNAZ
GOLGA1,4,GOLGA1
GOLGA5,4,GOLGA5
GOPC,4,GOPC
GORASP2,4,GORASP2
GP6,4,GP6
GPALPP1,4,GPALPP1
GPATCH2L,4,GPATCH2L
GPD1L,4,GPD1L
GPIHBP1,4,GPIHBP1
GPR161,4,GPR161
GPR180,4,GPR180
GPR75,4,GPR75
GPR89A,4,GPR89A
GPRIN2,4,GPRIN2
GRAMD1A,4,GRAMD1A
GRB7,4,GRB7
GRIP2,4,GRIP2
GRXCR2,4,GRXCR2
GSDMB,4,GSDMB
GSK3B,4,GSK3B
GSN,4,GSN
GSS,4,GSS
GSTA1,4,GSTA1
GSX2,4,GSX2
GTF2I,4,GTF2I
GTF2IRD2B,4,GTF2IRD2B
GTF3C5,4,GTF3C5
GTPBP4,4,GTPBP4
GUCA1B,4,GUCA1B
GUCY2D,4,GUCY2D
GUSB,4,GUSB
GYG2,4,GYG2
GZF1,4,GZF1
GZMK,4,GZMK
H1FOO,4,H1FOO
H3F3C,4,H3F3C
HARS,4,HARS
HAT1,4,HAT1
HAX1,4,HAX1
HCAR2,4,HCAR2
HCAR3,4,HCAR3
HDAC11,4,HDAC11
HEATR3,4,HEATR3
HEATR9,4,HEATR9
HECA,4,HECA
HELLS,4,HELLS
HENMT1,4,HENMT1
HERPUD2,4,HERPUD2
HHIP,4,HHIP
HID1,4,HID1
HIP1R,4,HIP1R
HIST1H2AE,4,HIST1H2AE
HIST1H2AH,4,HIST1H2AH
HIST1H2BH,4,HIST1H2BH
HIST1H3G,4,HIST1H3G
HIST1H4E,4,HIST1H4E
HIST1H4I,4,HIST1H4I
HLA-DQB1,4,HLA-DQB1
HMBS,4,HMBS
HMGB3,4,HMGB3
HMP19,4,HMP19
HMX2,4,HMX2
HNRNPA1L2,4,HNRNPA1L2
HOOK1,4,HOOK1
HOXA11,4,HOXA11
HOXB13,4,HOXB13
HOXB2,4,HOXB2
HOXB4,4,HOXB4
HOXB8,4,HOXB8
HOXC10,4,HOXC10
HOXD8,4,HOXD8
HPN,4,HPN
HPS1,4,HPS1
HRC,4,HRC
HRH1,4,HRH1
HRH4,4,HRH4
HS3ST6,4,HS3ST6
HSD17B6,4,HSD17B6
HTR1D,4,HTR1D
HTR3D,4,HTR3D
HYAL3,4,HYAL3
IARS,4,IARS
ICE2,4,ICE2
IDH3G,4,IDH3G
IDO1,4,IDO1
IFFO1,4,IFFO1
IFNA17,4,IFNA17
IFNA21,4,IFNA21
IFNA5,4,IFNA5
IFNA6,4,IFNA6
IFNL3,4,IFNL3
IFNLR1,4,IFNLR1
IGFBP1,4,IGFBP1
IGFBP3,4,IGFBP3
IGFBP5,4,IGFBP5
IGFL1,4,IGFL1
IGFLR1,4,IGFLR1
IGHG2,4,IGHG2
IGHG4,4,IGHG4
IGHV1-18,4,IGHV1-18
IGHV1-46,4,IGHV1-46
IGHV2-70,4,IGHV2-70
IGHV3-13,4,IGHV3-13
IGHV3-23,4,IGHV3-23
IGHV3-33,4,IGHV3-33
IGHV7-81,4,IGHV7-81
IGKV1-33,4,IGKV1-33
IGKV1D-8,4,IGKV1D-8
IGKV3-15,4,IGKV3-15
IGKV3-20,4,IGKV3-20
IGKV3D-15,4,IGKV3D-15
IGLV2-11,4,IGLV2-11
IGLV2-18,4,IGLV2-18
IGLV4-3,4,IGLV4-3
IL10RB,4,IL10RB
IL17F,4,IL17F
IL17RA,4,IL17RA
IL1A,4,IL1A
IL2,4,IL2
IL20RB,4,IL20RB
IL22,4,IL22
IL22RA2,4,IL22RA2
IL32,4,IL32
IL33,4,IL33
IL36A,4,IL36A
IL36RN,4,IL36RN
ILF2,4,ILF2
IMMP2L,4,IMMP2L
IMMT,4,IMMT
INHBB,4,INHBB
INS-IGF2,4,INS-IGF2
INSL6,4,INSL6
INSM2,4,INSM2
INTS8,4,INTS8
INVS,4,INVS
IP6K3,4,IP6K3
IQCA1,4,IQCA1
IQCC,4,IQCC
IQCJ,4,IQCJ
IRAK1,4,IRAK1
IRX5,4,IRX5
ISPD,4,ISPD
ISX,4,ISX
ITFG2,4,ITFG2
ITGB1,4,ITGB1
ITGB5,4,ITGB5
IVNS1ABP,4,IVNS1ABP
IYD,4,IYD
IZUMO1,4,IZUMO1
JADE1,4,JADE1
JAM3,4,JAM3
JMJD6,4,JMJD6
KATNA1,4,KATNA1
KAZALD1,4,KAZALD1
KAZN,4,KAZN
KCNAB1,4,KCNAB1
KCNG3,4,KCNG3
KCNIP1,4,KCNIP1
KCNJ4,4,KCNJ4
KCNN4,4,KCNN4
KCTD13,4,KCTD13
KCTD18,4,KCTD18
KCTD5,4,KCTD5
KDELC2,4,KDELC2
KDM7A,4,KDM7A
KHDRBS1,4,KHDRBS1
KIAA0355,4,KIAA0355
KIAA0895L,4,KIAA0895L
KIAA0907,4,KIAA0907
KIAA1211L,4,KIAA1211L
KIAA1328,4,KIAA1328
KIAA1598,4,KIAA1598
KIF11,4,KIF11
KIF3B,4,KIF3B
KIF5B,4,KIF5B
KIF7,4,KIF7
KIZ,4,KIZ
KLC2,4,KLC2
KLF5,4,KLF5
KLF8,4,KLF8
KLHDC4,4,KLHDC4
KLHL15,4,KLHL15
KLHL2,4,KLHL2
KLHL23,4,KLHL23
KLHL30,4,KLHL30
KLHL31,4,KLHL31
KLHL40,4,KLHL40
KLK11,4,KLK11
KLRC2,4,KLRC2
KLRD1,4,KLRD1
KLRF1,4,KLRF1
KPNA1,4,KPNA1
KPNA2,4,KPNA2
KPNA5,4,KPNA5
KRT20,4,KRT20
KRT23,4,KRT23
KRT39,4,KRT39
KRT6C,4,KRT6C
KRTAP1-5,4,KRTAP1-5
KRTAP10-1,4,KRTAP10-1
KRTAP10-11,4,KRTAP10-11
KRTAP10-3,4,KRTAP10-3
KRTAP12-2,4,KRTAP12-2
KRTAP19-4,4,KRTAP19-4
KRTAP20-2,4,KRTAP20-2
KRTAP23-1,4,KRTAP23-1
KRTAP4-11,4,KRTAP4-11
KRTAP4-12,4,KRTAP4-12
KRTAP5-11,4,KRTAP5-11
LAPTM5,4,LAPTM5
LAT,4,LAT
LBX1,4,LBX1
LCE2C,4,LCE2C
LCE5A,4,LCE5A
LCMT1,4,LCMT1
LCTL,4,LCTL
LDHAL6B,4,LDHAL6B
LDOC1,4,LDOC1
LECT1,4,LECT1
LGALS2,4,LGALS2
LGALS4,4,LGALS4
LGALS9B,4,LGALS9B
LGMN,4,LGMN
LHFP,4,LHFP
LHFPL4,4,LHFPL4
LHFPL5,4,LHFPL5
LHX1,4,LHX1
LHX3,4,LHX3
LHX4,4,LHX4
LHX6,4,LHX6
LIG3,4,LIG3
LIN28A,4,LIN28A
LIN37,4,LIN37
LIPE,4,LIPE
LIX1L,4,LIX1L
LMAN2,4,LMAN2
LMBR1,4,LMBR1
LMO2,4,LMO2
LMO4,4,LMO4
LMOD1,4,LMOD1
LMOD3,4,LMOD3
LMX1B,4,LMX1B
LOXL2,4,LOXL2
LPIN1,4,LPIN1
LPIN3,4,LPIN3
LPPR3,4,LPPR3
LRAT,4,LRAT
LRCH1,4,LRCH1
LRCH3,4,LRCH3
LRIG1,4,LRIG1
LRIG2,4,LRIG2
LRRC1,4,LRRC1
LRRC17,4,LRRC17
LRRC25,4,LRRC25
LRRC31,4,LRRC31
LRRC3B,4,LRRC3B
LRRC41,4,LRRC41
LRRC8B,4,LRRC8B
LRTM1,4,LRTM1
LSM14A,4,LSM14A
LTBP3,4,LTBP3
LYPD1,4,LYPD1
LYPD6B,4,LYPD6B
MAD1L1,4,MAD1L1
MAD2L1BP,4,MAD2L1BP
MAF1,4,MAF1
MAGEA1,4,MAGEA1
MAGEA3,4,MAGEA3
MAGEF1,4,MAGEF1
MAGEH1,4,MAGEH1
MAMDC2,4,MAMDC2
MAMDC4,4,MAMDC4
MAN2B1,4,MAN2B1
MAOA,4,MAOA
MAPK14,4,MAPK14
MAPKAP1,4,MAPKAP1
MARK3,4,MARK3
MAS1,4,MAS1
MATN1,4,MATN1
MAU2,4,MAU2
MAZ,4,MAZ
MBD3L1,4,MBD3L1
MBIP,4,MBIP
MBNL3,4,MBNL3
MBOAT2,4,MBOAT2
MBTPS2,4,MBTPS2
MCAT,4,MCAT
MCCC2,4,MCCC2
MCHR1,4,MCHR1
MCM2,4,MCM2
MCMBP,4,MCMBP
MCRS1,4,MCRS1
ME1,4,ME1
MED24,4,MED24
MED7,4,MED7
MEDAG,4,MEDAG
MEIS3,4,MEIS3
MEN1,4,MEN1
MEP1B,4,MEP1B
MEPCE,4,MEPCE
MESDC1,4,MESDC1
METTL17,4,METTL17
METTL18,4,METTL18
MFAP4,4,MFAP4
MFF,4,MFF
MFI2,4,MFI2
MFSD10,4,MFSD10
MFSD8,4,MFSD8
MIA2,4,MIA2
MICALL2,4,MICALL2
MIEF1,4,MIEF1
MIER2,4,MIER2
MIPEP,4,MIPEP
MIXL1,4,MIXL1
MKNK1,4,MKNK1
MKRN1,4,MKRN1
MLC1,4,MLC1
MLEC,4,MLEC
MLH3,4,MLH3
MLKL,4,MLKL
MLXIP,4,MLXIP
MMP15,4,MMP15
MMP28,4,MMP28
MNX1,4,MNX1
MOB1B,4,MOB1B
MPHOSPH6,4,MPHOSPH6
MPHOSPH8,4,MPHOSPH8
MPHOSPH9,4,MPHOSPH9
MPRIP,4,MPRIP
MRGBP,4,MRGBP
MRGPRF,4,MRGPRF
MRM1,4,MRM1
MROH1,4,MROH1
MRPL1,4,MRPL1
MRPL16,4,MRPL16
MRPL45,4,MRPL45
MRPS15,4,MRPS15
MRPS22,4,MRPS22
MRPS27,4,MRPS27
MRPS9,4,MRPS9
MSLNL,4,MSLNL
MSMB,4,MSMB
MTF2,4,MTF2
MTHFD1,4,MTHFD1
MTHFSD,4,MTHFSD
MTIF2,4,MTIF2
MTMR14,4,MTMR14
MTMR7,4,MTMR7
MTPAP,4,MTPAP
MYBBP1A,4,MYBBP1A
MYBL1,4,MYBL1
MYC,4,MYC
MYL1,4,MYL1
MYOT,4,MYOT
MYOZ1,4,MYOZ1
MYOZ2,4,MYOZ2
N4BP3,4,N4BP3
NAALADL1,4,NAALADL1
NAF1,4,NAF1
NAIP,4,NAIP
NAMPT,4,NAMPT
NAP1L1,4,NAP1L1
NAT16,4,NAT16
NBPF14,4,NBPF14
NBPF3,4,NBPF3
NBR1,4,NBR1
NCALD,4,NCALD
NCAPH2,4,NCAPH2
NCBP1,4,NCBP1
NCDN,4,NCDN
NCLN,4,NCLN
NDC1,4,NDC1
NDRG3,4,NDRG3
NDRG4,4,NDRG4
NDUFA10,4,NDUFA10
NDUFAF6,4,NDUFAF6
NDUFS2,4,NDUFS2
NECAB1,4,NECAB1
NEDD1,4,NEDD1
NEFM,4,NEFM
NEK4,4,NEK4
NET1,4,NET1
NEUROG2,4,NEUROG2
NFKB2,4,NFKB2
NFX1,4,NFX1
NFYC,4,NFYC
NGFR,4,NGFR
NIPAL1,4,NIPAL1
NIT1,4,NIT1
NKD1,4,NKD1
NKX3-1,4,NKX3-1
NKX3-2,4,NKX3-2
NMD3,4,NMD3
NMS,4,NMS
NOMO1,4,NOMO1
NOTUM,4,NOTUM
NOXO1,4,NOXO1
NPAS2,4,NPAS2
NPL,4,NPL
NPLOC4,4,NPLOC4
NPR2,4,NPR2
NR1I2,4,NR1I2
NR5A1,4,NR5A1
NSDHL,4,NSDHL
NSUN3,4,NSUN3
NT5DC3,4,NT5DC3
NTSR2,4,NTSR2
NUCKS1,4,NUCKS1
NUDT17,4,NUDT17
NUPL2,4,NUPL2
OCEL1,4,OCEL1
OLFM2,4,OLFM2
OLIG3,4,OLIG3
OMA1,4,OMA1
OPN1LW,4,OPN1LW
OPN3,4,OPN3
OR10A7,4,OR10A7
OR13C3,4,OR13C3
OR1D2,4,OR1D2
OR1E2,4,OR1E2
OR1F1,4,OR1F1
OR1L3,4,OR1L3
OR1N1,4,OR1N1
OR2B2,4,OR2B2
OR2B3,4,OR2B3
OR2C1,4,OR2C1
OR2T35,4,OR2T35
OR4F6,4,OR4F6
OR4N4,4,OR4N4
OR52D1,4,OR52D1
OR5AC2,4,OR5AC2
OR6C2,4,OR6C2
OR6C4,4,OR6C4
ORAI3,4,ORAI3
ORC5,4,ORC5
ORM1,4,ORM1
OS9,4,OS9
OSBPL10,4,OSBPL10
OSBPL2,4,OSBPL2
OSBPL7,4,OSBPL7
OSMR,4,OSMR
OSTN,4,OSTN
OTOP2,4,OTOP2
OTULIN,4,OTULIN
OVGP1,4,OVGP1
OVOL1,4,OVOL1
OXCT2,4,OXCT2
OXTR,4,OXTR
P2RX2,4,P2RX2
P2RX3,4,P2RX3
P2RX7,4,P2RX7
PABPN1,4,PABPN1
PACS1,4,PACS1
PACS2,4,PACS2
PAGE1,4,PAGE1
PANX1,4,PANX1
PAPSS1,4,PAPSS1
PAQR3,4,PAQR3
PAQR5,4,PAQR5
PAQR6,4,PAQR6
PAQR8,4,PAQR8
PARG,4,PARG
PARP1,4,PARP1
PARP10,4,PARP10
PARP2,4,PARP2
PARP6,4,PARP6
PATL1,4,PATL1
PBLD,4,PBLD
PBX2,4,PBX2
PCBP1,4,PCBP1
PCDHGC3,4,PCDHGC3
PCYOX1,4,PCYOX1
PDE4C,4,PDE4C
PDGFRL,4,PDGFRL
PDHA1,4,PDHA1
PDIA6,4,PDIA6
PDK4,4,PDK4
PDZD3,4,PDZD3
PELO,4,PELO
PES1,4,PES1
PEX12,4,PEX12
PEX26,4,PEX26
PGAM4,4,PGAM4
PHACTR1,4,PHACTR1
PHACTR4,4,PHACTR4
PHC2,4,PHC2
PHF1,4,PHF1
PHF19,4,PHF19
PHLDA3,4,PHLDA3
PHOSPHO2,4,PHOSPHO2
PIBF1,4,PIBF1
PICK1,4,PICK1
PIDD1,4,PIDD1
PIF1,4,PIF1
PIGS,4,PIGS
PIK3R1,4,PIK3R1
PILRB,4,PILRB
PITPNM1,4,PITPNM1
PKM,4,PKM
PKN1,4,PKN1
PLA1A,4,PLA1A
PLA2G2A,4,PLA2G2A
PLA2G6,4,PLA2G6
PLAA,4,PLAA
PLAC8,4,PLAC8
PLCXD2,4,PLCXD2
PLEKHA4,4,PLEKHA4
PLEKHA8,4,PLEKHA8
PLIN1,4,PLIN1
PLIN3,4,PLIN3
PLP2,4,PLP2
PM20D2,4,PM20D2
PMEL,4,PMEL
PMEPA1,4,PMEPA1
PMPCB,4,PMPCB
PNMA3,4,PNMA3
POC1A,4,POC1A
POC1B-GALNT4,4,POC1B-GALNT4
PODXL,4,PODXL
POGZ,4,POGZ
POLD1,4,POLD1
POLD2,4,POLD2
POLI,4,POLI
POLM,4,POLM
POLN,4,POLN
POMK,4,POMK
PON1,4,PON1
POPDC3,4,POPDC3
PORCN,4,PORCN
POTED,4,POTED
POU2AF1,4,POU2AF1
POU3F3,4,POU3F3
POU4F1,4,POU4F1
PPARA,4,PPARA
PPIAL4G,4,PPIAL4G
PPM1D,4,PPM1D
PPM1F,4,PPM1F
PPOX,4,PPOX
PPP1R13B,4,PPP1R13B
PPP1R15A,4,PPP1R15A
PPP1R17,4,PPP1R17
PPP1R36,4,PPP1R36
PPP1R3D,4,PPP1R3D
PPP2R5E,4,PPP2R5E
PPP4R1,4,PPP4R1
PRAM1,4,PRAM1
PRAMEF5,4,PRAMEF5
PRDX1,4,PRDX1
PRDX3,4,PRDX3
PRDX6,4,PRDX6
PRELID2,4,PRELID2
PRICKLE3,4,PRICKLE3
PRKCD,4,PRKCD
PRKCZ,4,PRKCZ
PRKRIP1,4,PRKRIP1
PRKX,4,PRKX
PRMT9,4,PRMT9
PRNT,4,PRNT
PROM2,4,PROM2
PROSER3,4,PROSER3
PRPF19,4,PRPF19
PRPF38B,4,PRPF38B
PRPS1L1,4,PRPS1L1
PRR11,4,PRR11
PRR14,4,PRR14
PRSS23,4,PRSS23
PSAT1,4,PSAT1
PSMC6,4,PSMC6
PSMD1,4,PSMD1
PSPH,4,PSPH
PSTPIP1,4,PSTPIP1
PTGER2,4,PTGER2
PTPN18,4,PTPN18
PTPN2,4,PTPN2
PTPN21,4,PTPN21
PTPN23,4,PTPN23
PWP1,4,PWP1
PYDC2,4,PYDC2
PYGO1,4,PYGO1
QDPR,4,QDPR
QKI,4,QKI
QRICH1,4,QRICH1
RAB11FIP3,4,RAB11FIP3
RAB28,4,RAB28
RAB39B,4,RAB39B
RAB3C,4,RAB3C
RAB6B,4,RAB6B
RACGAP1,4,RACGAP1
RANBP3,4,RANBP3
RAP1GAP2,4,RAP1GAP2
RAPGEF5,4,RAPGEF5
RAPGEFL1,4,RAPGEFL1
RARRES3,4,RARRES3
RARS,4,RARS
RASD2,4,RASD2
RASGEF1B,4,RASGEF1B
RASGEF1C,4,RASGEF1C
RASL12,4,RASL12
RASSF6,4,RASSF6
RAVER2,4,RAVER2
RBBP7,4,RBBP7
RBL1,4,RBL1
RBM28,4,RBM28
RBM4,4,RBM4
RBM44,4,RBM44
RBMS1,4,RBMS1
RBP2,4,RBP2
RBPJ,4,RBPJ
RBPMS2,4,RBPMS2
RBSN,4,RBSN
RCN2,4,RCN2
RCN3,4,RCN3
RDH11,4,RDH11
RDH12,4,RDH12
REL,4,REL
REPIN1,4,REPIN1
REXO1,4,REXO1
RFPL4B,4,RFPL4B
RFX3,4,RFX3
RGL3,4,RGL3
RGS13,4,RGS13
RGS14,4,RGS14
RGS21,4,RGS21
RHBDL1,4,RHBDL1
RHBG,4,RHBG
RHNO1,4,RHNO1
RHO,4,RHO
RHOT1,4,RHOT1
RHPN2,4,RHPN2
RING1,4,RING1
RIOK3,4,RIOK3
RIPK4,4,RIPK4
RIPPLY2,4,RIPPLY2
RMND5B,4,RMND5B
RNF111,4,RNF111
RNF123,4,RNF123
RNF139,4,RNF139
RNF157,4,RNF157
RNF169,4,RNF169
RNF40,4,RNF40
RNF6,4,RNF6
RNLS,4,RNLS
RNPEP,4,RNPEP
RP11-545J16.1,4,RP11-545J16.1
RP2,4,RP2
RPAP2,4,RPAP2
RPL22,4,RPL22
RPL4,4,RPL4
RPL6,4,RPL6
RPL8,4,RPL8
RPN2,4,RPN2
RPS3,4,RPS3
RRM2,4,RRM2
RRM2B,4,RRM2B
RRP15,4,RRP15
RRP9,4,RRP9
RSBN1L,4,RSBN1L
RSG1,4,RSG1
RSPH4A,4,RSPH4A
RSPH6A,4,RSPH6A
RTF1,4,RTF1
RTN2,4,RTN2
RTN4,4,RTN4
RTN4RL1,4,RTN4RL1
RTN4RL2,4,RTN4RL2
RTP3,4,RTP3
RUFY4,4,RUFY4
RUSC1,4,RUSC1
RWDD2B,4,RWDD2B
SAMD15,4,SAMD15
SARAF,4,SARAF
SART1,4,SART1
SBNO2,4,SBNO2
SCARA3,4,SCARA3
SCARB1,4,SCARB1
SCCPDH,4,SCCPDH
SCLY,4,SCLY
SCML1,4,SCML1
SCN3B,4,SCN3B
SCP2,4,SCP2
SCRN3,4,SCRN3
SCTR,4,SCTR
SCUBE2,4,SCUBE2
SCYL1,4,SCYL1
SDAD1,4,SDAD1
SDCCAG3,4,SDCCAG3
SDF2,4,SDF2
SDHAF2,4,SDHAF2
SEC62,4,SEC62
SEC63,4,SEC63
SEMA4G,4,SEMA4G
SENP2,4,SENP2
SEPHS1,4,SEPHS1
SEPP1,4,SEPP1
SEPT1,4,SEPT1
SEPT3,4,SEPT3
SEPT5,4,SEPT5
SERPINA1,4,SERPINA1
SERPINC1,4,SERPINC1
SERPINE3,4,SERPINE3
SESN2,4,SESN2
SETD3,4,SETD3
SETD4,4,SETD4
SF3B3,4,SF3B3
SFMBT1,4,SFMBT1
SGCB,4,SGCB
SGMS1,4,SGMS1
SH2B2,4,SH2B2
SH2D1A,4,SH2D1A
SH2D1B,4,SH2D1B
SH2D4A,4,SH2D4A
SH2D4B,4,SH2D4B
SH3BP1,4,SH3BP1
SH3RF3,4,SH3RF3
SHC1,4,SHC1
SHCBP1,4,SHCBP1
SHOC2,4,SHOC2
SHPK,4,SHPK
SIAH2,4,SIAH2
SIDT1,4,SIDT1
SIGLEC15,4,SIGLEC15
SIMC1,4,SIMC1
SIRPD,4,SIRPD
SIRT7,4,SIRT7
SIX4,4,SIX4
SLC10A3,4,SLC10A3
SLC10A7,4,SLC10A7
SLC11A2,4,SLC11A2
SLC12A8,4,SLC12A8
SLC13A1,4,SLC13A1
SLC13A4,4,SLC13A4
SLC16A10,4,SLC16A10
SLC16A5,4,SLC16A5
SLC1A1,4,SLC1A1
SLC22A1,4,SLC22A1
SLC22A10,4,SLC22A10
SLC25A11,4,SLC25A11
SLC25A32,4,SLC25A32
SLC25A37,4,SLC25A37
SLC25A38,4,SLC25A38
SLC25A40,4,SLC25A40
SLC26A8,4,SLC26A8
SLC29A1,4,SLC29A1
SLC29A4,4,SLC29A4
SLC2A12,4,SLC2A12
SLC2A13,4,SLC2A13
SLC35A5,4,SLC35A5
SLC35B1,4,SLC35B1
SLC35B3,4,SLC35B3
SLC35C1,4,SLC35C1
SLC35F5,4,SLC35F5
SLC35F6,4,SLC35F6
SLC35G2,4,SLC35G2
SLC36A3,4,SLC36A3
SLC37A1,4,SLC37A1
SLC37A3,4,SLC37A3
SLC38A6,4,SLC38A6
SLC39A3,4,SLC39A3
SLC39A5,4,SLC39A5
SLC41A3,4,SLC41A3
SLC45A3,4,SLC45A3
SLC45A4,4,SLC45A4
SLC7A1,4,SLC7A1
SLC7A9,4,SLC7A9
SLC9A8,4,SLC9A8
SMC6,4,SMC6
SMCO3,4,SMCO3
SMPDL3A,4,SMPDL3A
SMTNL2,4,SMTNL2
SMURF2,4,SMURF2
SMYD2,4,SMYD2
SMYD4,4,SMYD4
SNAP25,4,SNAP25
SNAP47,4,SNAP47
SNAPC3,4,SNAPC3
SNCA,4,SNCA
SNCB,4,SNCB
SNED1,4,SNED1
SNTB1,4,SNTB1
SNURF,4,SNURF
SNX12,4,SNX12
SNX15,4,SNX15
SNX18,4,SNX18
SNX27,4,SNX27
SNX32,4,SNX32
SNX5,4,SNX5
SORCS2,4,SORCS2
SOST,4,SOST
SOX1,4,SOX1
SPAG4,4,SPAG4
SPANXC,4,SPANXC
SPANXD,4,SPANXD
SPATA21,4,SPATA21
SPATC1L,4,SPATC1L
SPESP1,4,SPESP1
SPG7,4,SPG7
SPI1,4,SPI1
SPNS1,4,SPNS1
SPRED2,4,SPRED2
SPRR2B,4,SPRR2B
SPRR2G,4,SPRR2G
SPSB1,4,SPSB1
SQSTM1,4,SQSTM1
SREBF1,4,SREBF1
SRGAP2,4,SRGAP2
SRPK2,4,SRPK2
SRRM1,4,SRRM1
SRRM3,4,SRRM3
SRSF10,4,SRSF10
SRSF11,4,SRSF11
SRSF2,4,SRSF2
SRSF4,4,SRSF4
SSC4D,4,SSC4D
SSUH2,4,SSUH2
ST5,4,ST5
ST6GAL1,4,ST6GAL1
STAC3,4,STAC3
STAMBP,4,STAMBP
STARD3,4,STARD3
STAT5A,4,STAT5A
STK17B,4,STK17B
STK3,4,STK3
STK39,4,STK39
STK4,4,STK4
STRBP,4,STRBP
STRIP2,4,STRIP2
STX16,4,STX16
STXBP6,4,STXBP6
STYK1,4,STYK1
SULT1A1,4,SULT1A1
SULT4A1,4,SULT4A1
SUOX,4,SUOX
SUSD4,4,SUSD4
SUSD6,4,SUSD6
SYCE1,4,SYCE1
SYN2,4,SYN2
